House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Bulldog Crescent,Harry,Baldwin,36,Head,Married,Male,Education administrator,None,None
1,Bulldog Crescent,Heather,Baldwin,30,Wife,Married,Female,Purchasing manager,None,None
1,Bulldog Crescent,Katy,Baldwin,0,Daughter,NA,Female,Child,None,NA
1,Bulldog Crescent,Philip,Giles,40,Lodger,Divorced,Male,Manufacturing engineer,None,None
1,Bulldog Crescent,Shannon,Allen,31,Lodger,Single,Female,Restaurant manager,None,Catholic
2,Bulldog Crescent,Andrea,Bevan,39,Head,Married,Female,Paramedic,None,Methodist
2,Bulldog Crescent,Jason,Bevan,39,Husband,Married,Male,Unemployed,None,None
2,Bulldog Crescent,Stuart,Robertson,38,Sibling,Single,Male,"Teacher, primary school",None,None
3,Bulldog Crescent,Chloe,Roberts,34,Head,Single,Female,Unemployed,None,None
3,Bulldog Crescent,Pauline,Roberts,11,Daughter,NA,Female,Student,None,NA
4,Bulldog Crescent,Kathleen,Yates,41,Head,Married,Female,"Nurse, mental health",None,Christian
4,Bulldog Crescent,Roy,Yates,43,Husband,Married,Male,Applications developer,None,Christian
4,Bulldog Crescent,Maureen,Yates,13,Daughter,NA,Female,Student,None,NA
5,Bulldog Crescent,Rosemary,Smith,48,Head,Married,Female,Community education officer,None,Catholic
5,Bulldog Crescent,Christopher,Smith,52,Husband,Married,Male,Unemployed,None,None
5,Bulldog Crescent,Cheryl,Smith,16,Daughter,NA,Female,Student,None,NA
6,Bulldog Crescent,Denise,Norris,55,Head,Married,Female,Analytical chemist,None,None
6,Bulldog Crescent,Ronald,Norris,57,Husband,Married,Male,Microbiologist,None,None
6,Bulldog Crescent,Louise,Norris,22,Daughter,Divorced,Female,University Student,None,None
7,Bulldog Crescent,Bethan,Lewis,81,Head,Married,Female,Retired Actuary,None,Methodist
7,Bulldog Crescent,Reece,Lewis,84,Husband,Married,Male,Retired Insurance broker,None,None
8,Bulldog Crescent,Shirley,Whittaker,68,Head,Married,Female,Retired Retail merchandiser,None,None
8,Bulldog Crescent,Colin,Cooke,72,Husband,Married,Male,"Retired Engineer, manufacturing systems",None,None
9,Bulldog Crescent,Oliver,Brown,40,Head,Widowed,Male,"Development worker, international aid",None,Catholic
10,Bulldog Crescent,Louise,Khan,32,Head,Single,Female,Unemployed,None,None
10,Bulldog Crescent,Denis,Khan,10,Son,NA,Male,Student,None,NA
10,Bulldog Crescent,Arthur,Khan,10,Son,NA,Male,Student,None,NA
11,Bulldog Crescent,Gail,Lynch-Watkins,61,Head,Married,Female,Interpreter,None,Christian
11,Bulldog Crescent,Jason,Lynch-Watkins,65,Husband,Married,Male,Chartered public finance accountant,None,Christian
11,Bulldog Crescent,Callum,Lynch-Watkins,21,Son,Divorced,Male,University Student,None,Christian
11,Bulldog Crescent,Mohamed,Lynch-Watkins,0,Son,NA,Male,Child,None,NA
12,Bulldog Crescent,Chloe,Wilson,40,Head,Married,Female,Physiological scientist,None,None
12,Bulldog Crescent,Terence,Wilson,43,Husband,Married,Male,Careers adviser,None,None
12,Bulldog Crescent,Cameron,Wilson,23,Son,Single,Male,Dietitian,None,None
12,Bulldog Crescent,Robin,Wilson,16,Son,NA,Male,Student,None,NA
13,Bulldog Crescent,Josephine,Barber-Morris,41,Head,Married,Female,Fitness centre manager,None,Catholic
13,Bulldog Crescent,Jake,Barber-Morris,50,Husband,Married,Male,Oceanographer,None,None
14,Bulldog Crescent,Carly,Clarke,49,Head,Married,Female,Unemployed,None,Methodist
14,Bulldog Crescent,David,Clarke,52,Husband,Married,Male,Merchant navy officer,None,Methodist
14,Bulldog Crescent,Amelia,Clarke,13,Daughter,NA,Female,Student,None,NA
14,Bulldog Crescent,Charlie,Clarke,10,Son,NA,Male,Student,None,NA
15,Bulldog Crescent,Samantha,Turnbull,77,Head,Single,Female,Retired Sports coach,None,Methodist
15,Bulldog Crescent,Martin,Turnbull,45,Son,Single,Male,"Psychologist, forensic",None,None
15,Bulldog Crescent,Timothy,Turnbull,38,Son,Single,Male,Software engineer,None,Methodist
16,Bulldog Crescent,Teresa,Quinn,34,Head,Single,Female,Unemployed,None,Christian
16,Bulldog Crescent,Megan,Quinn,8,Daughter,NA,Female,Student,None,NA
16,Bulldog Crescent,Katy,Quinn,0,Daughter,NA,Female,Child,Disabled,NA
16,Bulldog Crescent,Sylvia,Winter,19,Lodger,Single,Female,University Student,None,Muslim
17,Bulldog Crescent,Tina,Cook,49,Head,Single,Female,Sales promotion account executive,None,Catholic
17,Bulldog Crescent,Karl,Ward,42,None,Single,Male,Unemployed,None,Catholic
17,Bulldog Crescent,Nicole,Barker,21,None,Single,Female,University Student,None,None
17,Bulldog Crescent,Alexander,Jackson,60,None,Single,Male,"Scientist, research (physical sciences)",None,None
18,Bulldog Crescent,Darren,Murphy,68,Head,Widowed,Male,"Retired Therapist, speech and language",None,Christian
1,Leviathan Avenue,Simon,Smith,36,Head,Single,Male,Engineering geologist,None,None
2,Leviathan Avenue,Gail,Hardy,45,Head,Single,Female,Recycling officer,None,Catholic
3,Leviathan Avenue,Benjamin,Vincent,75,Head,Divorced,Male,Retired Firefighter,None,Christian
4,Leviathan Avenue,Annette,Parker,34,Head,Married,Female,Unemployed,None,Methodist
4,Leviathan Avenue,Leon,Parker,36,Husband,Married,Male,"Designer, interior/spatial",None,None
4,Leviathan Avenue,Georgina,Parker,15,Daughter,NA,Female,Student,None,NA
4,Leviathan Avenue,Kirsty,Parker,15,Daughter,NA,Female,Student,None,NA
5,Leviathan Avenue,Ashleigh,Williams,54,Head,Single,Female,Scientific laboratory technician,None,Christian
6,Leviathan Avenue,Kathryn,Johnson,53,Head,Divorced,Female,Retail banker,None,Christian
6,Leviathan Avenue,Luke,Johnson,21,Son,Single,Male,University Student,None,None
7,Leviathan Avenue,Grace,Price,18,Head,Divorced,Female,Student,None,NA
1,Smith Lock,Matthew,Taylor,72,Head,Married,Male,"Retired Civil engineer, contracting",None,Christian
